"""Steff""",  Stefanie Oxmann Mcgaha, Night of the Demons, 2009, Goth raver, )  (uncredited
, 	," ""La tierra de las 1000 m�sicas""", 2005, Herself, ) {La balada (#1.4)}  (archive footage
, 	," ""M�sica s�""", 1997, Herself, ) {(1997-12-13)}  (as Ella Baila Sola
, 	," ""M�sica s�""", 1997, Herself, ) {(1999-04-03)}  (as Ella Baila Sola
, 	," ""M�sica s�""", 1997, Herself, ) {(1999-07-10)}  (as Ella Baila Sola
, 	," ""M�sica s�""", 1997, Herself, ) {(2000-11-18)}  (as Ella Baila Sola
, 	," ""M�sica s�""", 1997, Herself, ) {(2001-02-10)}  (as Ella Baila Sola
, 	," ""M�sica s�""", 1997, Herself, ) {(2001-09-08)}  (as Ella Baila Sola
, 	," ""Waku waku""", 1989, Herself, /I) {(1999-05-09

, 	, Onward, 2016, Amelia, /I)  (as Sonia Guggenheim
A. Ross,  Marissa, Sweet Mary & Jane, 2012, Herself, 
, 	," ""Tangents & the Times""", 2011, Marissa, ) {Marissa Gets Flustered (#1.4
, 	," ""Tangents & the Times""", 2011, Marissa, ) {Marissa Makes a Decision: Part Deux (#1.8
, 	," ""Tangents & the Times""", 2011, Marissa, ) {Marissa Solves Some Problems (#1.7

, 	," ""Cambala Investigation Agency""", 2008, Nikki, 
A. Sirnaik,  Poonam, Dream Lock, 2016, Maria, 
A.,  Ahed," ""Full Frontal with Samantha Bee""", 2016, Herself, ) {December 19, 2016 (#1.34
A.,  Alicia, Vicky Foxx: Forever in Blue Jeans, 2010, Herself, 
, 	," ""MatthewDieuAllen TV""", 2008, Herself, ) {The Pix of 2010... So Far (#2.1)}  (archive footage






, 	, Lola + Bilidikid, 1999, Nightclub Singer, )  (as Aziza-A



, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Angriff (#1.1495
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Der Leserbrief (#1.1473
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Ein bisschen Shopping (#1.1482)}  (uncredited
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Ein untersch�tztes Gem�se (#1.1464)}  (uncredited
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Manolis (#1.1462)}  (as Chalyn Aria
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Schmerzensgeld (#1.1504)}  (uncredited
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {Strom (#1.1514)}  (uncredited
, 	," ""Lindenstra�e""", 1985, Emma Sarikakis, ) {�l ins Feuer (#1.1474)}  (as Chalyn Aria
A.,  Dakota, Exchange Lab, 2017, , 

, 	, Rocco's Intimate Castings 3, 2016, , 
, 	," ""Evil Angel""", 2005, , 
A.,  Derya, Lesbian Fuck Fest 5, 2010, , 
, 	, Seventeen's Playground 5, 2007, , 
, 	, Teeny Hot Spots 4, 2007, , 


, 	," ""Blondi tuli taloon""", 1994, Turtzik, ) {Jouluaatto (#2.34)}  (voice




, 	," ""Die Harald Schmidt Show""", 1995, Herself, ) {Show #783 - Der Chef surft im Internet (#5.165


, 	, Family Still Matters, 2014, Tia Garrett, ) (TV


, 	," ""MatthewDieuAllen TV""", 2008, Herself, ) {Enchanted Village: Part 2 (#5.21

, 	," ""The Story of Matthew & Brandon""", 2014, Herself, ) {LJ's Bday Bash (#1.3
A.,  Kristy, In Loving Memory..., 2010, Herself, ) (V
, 	, Vicky Foxx: Forever in Blue Jeans, 2010, Herself, 
, 	," ""CrispyMedia""", 2009, Herself, ) {New Years at the Space Needle (#1.3
, 	," ""MatthewDieuAllen TV""", 2008, Herself, 
, 	," ""MatthewDieuAllen TV""", 2008, Herself, ) {Kittens (#1.9
, 	," ""The Mack Files""", 2015, Herself, ) {15 Years in the USA (#2.3
, 	," ""The Mack Files""", 2015, Herself, ) {Ashley's Birthday Adventure (#1.10
, 	," ""The Mack Files""", 2015, Herself, ) {Destiny's Birthday (#2.7
, 	," ""The Mack Files""", 2015, Herself, ) {May Day March (#1.11
, 	," ""The Mack Files""", 2015, Herself, ) {The Mannequin Challenge (#1.23
, 	," ""The Story of Matthew & Brandon""", 2014, Herself, ) {LJ's Bday Bash (#1.3
, 	," ""The Time with Matthew & Randy Show""", 2008, Herself, ) {A Weekend With... (#1.9
, 	," ""The Time with Matthew & Randy Show""", 2008, Herself, ) {Columbia Tower (#5.6
, 	," ""The Time with Matthew & Randy Show""", 2008, Herself, ) {Disneyland, Universal Studios, & Sea World (#5.7
, 	," ""The Time with Matthew & Randy Show""", 2008, Herself, ) {NW Trek (#5.3
, 	," ""The Time with Matthew & Randy Show""", 2008, Herself, ) {Unused Material (#1.5
A.,  Laura, Emmanuelle the Private Collection: Jesse's Secret Desires, 2006, Rain, ) (V
A.,  Leydia, Satu kecupan, 2004, , 
A.,  Liv, Sincere, 2012, , 
A.,  Mariana," ""Disputas""", 2003, Gisel, ) {(#1.10)}  (uncredited
, 	," ""Disputas""", 2003, Gisel, ) {(#1.7)}  (uncredited
, 	," ""Disputas""", 2003, Gisel, ) {(#1.9)}  (uncredited
A.,  Mika, Champagne, 2010, Herself, /III
A.,  Miriam, Africa on Your Screens, 2012, Young woman, ) (V
A.,  M�nica, Santo Enredo, 1995, Chica 1, 
A.,  Nancy, A PornDoe Premium XXXmas, 2016, (story: 'Nancy's X-Mas Treat'), ) (V
, 	, Sporty Girls, 2017, , 
, 	," ""Sapphic Erotica""", 2003, , 
A.,  Nichol, Seventeen Collected Solo 62, 2013, , 
A.,  Nikia, Latria, 2013, , 
A.,  Nikki, Straight Edge Kegger, 2016, Belly Slapper, 
A.,  Norma (I)," ""The Time with Matthew & Randy Show""", 2008, Herself, ) {Sacramento, California: Part 2 (#6.2
A.,  Norma (II), Rajni, 2015, , 
A.,  Regina, All Suspects, 2013, Victoria, 
A.,  Regina Seeman, Vacaciones de terror, 1988, Ni�a 1, 
A.,  Sarah, Cruel Summer, 2012, Princess, 
A.,  Sofi, Even More, 2010, Herself, ) (V
A.,  Solana, Best Present, 2017, Herself, 
A.,  Stephanie, Black Tar Road, 2016, Skeeter, 
, 	, Family Affair, 2009, Rhonda, 
, 	, In the Closet, 2009, Paris, 
, 	, Oakville, 2013, Shauna, 
, 	," ""Prank My Mom""", 2012, Prankster, ) {Mom Did What? (#1.1
, 	," ""Prank My Mom""", 2012, Prankster, ) {Oh No Mom Didn't (#1.3
A.,  Suzanna, Lamina, 2015, , 
A.,  Swan, Menatel, 2015, , 
A.,  S�lan, D�rt duvar arasi kapanmaz ki!, 2015," (segment ""D� r e..."")", 
A.,  Thi, Military Punishment, 2003, , 
A.,  Tyfany, Big Ass She-Male Road Trip 12, 2006, , 

, 	, Cherry Girls 4, 2008, , 
, 	, My Sexy Kittens 43, 2009, , 
, 	, Teeny Hot Spots 7, 2009, , 
A.,  Vanessa, Private Auditions 2: Sex Auditions 5, 2007, , 
A.,  Venomous, Mouth, 2007, News Anchor #1, ) (V)  (as Venemous A
A.,  Yani, Pensia, 2015, Herself, ) (V
A.,  Yvonne, Girls of Foxy Lady 4, 1989, , 
A.D.,  The Pack," ""Last Call with Carson Daly""", 2002, Herself - Musical guest, ) {(2013-10-21



, 	," ""We Live Together""", 2003, , 
A.J.,  Anna," ""Top star magaz�n""", 2008, Herself (Sexy Model), ) {Top star magaz�n 2012/10 (#5.10
A.johnson,  Guenaelle, Mariage forc�, 2015, M�re de la mari�e, ) (V
A.K.,  Selina, XConfessions Vol. 1, 2013, , 
A.N.,  Kalpana, Naani, 2016, , 
Aabba,  Arla, Miss� on miss�?, 2009, Villager, 
Aabed,  Reem, Paranorma There Is Always a Dark Side, 2011, One eyed girl in the Surreal World Segment, 
Aabel,  Hauk (II), A Woman's Face, 1941, Nurse, )  (uncredited
, 	, Deep Dark Secrets, 1987, Katherine, ) (TV)  (uncredited
, 	, Galilei, 1977, , 
Aabel,  Mari," ""Kelgukoerad""", 2006, S�de, ) {Jackpot (#2.5
, 	," ""Kelgukoerad""", 2006, S�de, ) {Topeltm�ng (#2.6
, 	," ""Kelgukoerad""", 2006, S�de, ) {Viimane v�te (#2.8
Aabel,  Natascha," ""Radioresepsjonen p� TV""", 2010, Herself, ) {(#1.2
Aabel,  Nina, Edvard Munch, 1974, Kristiania Bohemian, ) (TV
Aabel,  Per (II), Die Tote von Amelung, 1995, Constanze, ) (TV
, 	, Twenty Bucks, 1993, Rich Woman, 
Aabel,  Suzanne," ""Bloggerne""", 2014, Herself, 
, 	," ""Trygdekontoret""", 2009, Herself, ) {(#1.5
, 	," ""T�rnquist Show""", 2012, Herself, ) {(#1.10
, 	," ""T�rnquist Show""", 2012, Herself, ) {(#1.3
, 	," ""T�rnquist Show""", 2012, Herself, ) {(#2.10
, 	," ""T�rnquist Show""", 2012, Herself, ) {(#2.4
, 	," ""T�rnquist Show""", 2012, Herself, ) {(#2.8
Aaberg,  Christen, Havet og menneskene, 1970, Sogner�dsformand H.P. Nielsen, 
Aaberg,  Kimberly, Reis zonder einde, 1995, Jonge Dani�lle, 



, 	," ""Allsang P� Grensen""", 2007, , 
, 	," ""Foppall""", 2011, Herself - Guest, 
, 	," ""God morgen Norge""", 1994, Herself, ) {(2010-10-28
, 	," ""H�p i ei Gryte""", 2013, Herself, 
, 	," ""Idol - Jakten p� en superstjerne"" (2003)  [Second place", 2005, , 
, 	," ""Idol - Jakten p� en superstjerne""", 2003, Herself - Guest, ) {Idol gir tilbake (#5.13
, 	," ""Idol - Jakten p� en superstjerne""", 2003, Herself, ) {Topp 11 - Norske artister (#3.8
, 	," ""Idol - Jakten p� en superstjerne""", 2003, Herself, ) {Topp 3 - Dommerne bestemmer (#3.16
, 	," ""Idol - Jakten p� en superstjerne""", 2003, Herself, ) {Topp 5 - Gallaaften (#3.14
, 	," ""Idol - Jakten p� en superstjerne""", 2003, Herself, ) {Topp 6 - Beatles (#3.13
, 	," ""Idol - Jakten p� en superstjerne""", 2003, Herself, ) {Topp 8 - 80-tallet (#3.11
, 	," ""Melodifestivalen 2013""", 2013, Herself - competitor, ) {Andra Chansen: Karlstad (#1.5
, 	," ""Senkveld med Thomas og Harald""", 2003, Herself, ) {(2006-09-29
, 	," ""Skal vi danse""", 2006, Herself, ) {(#2.1
, 	," ""S� ska det l�ta""", 1997, Herself, ) {(#18.4
, 	," ""T�rnquist Show""", 2012, Herself - Guest, ) {(#3.4
Aaboe,  Pernill," ""Bryggeren""", 1996, Fru K�hle, ) {12. afsnit, 1884-1887 (#1.12
Aabram,  Autumn, A Glimpse of GOD'S Hand at Work, 2014, Toddler, 
Aaby,  Maia Helene Friise," ""Sejer - Elskede Poona""", 2003, Karen Krantz, 
Aabye,  Ingvild," ""Dag""", 2010, Damef�tter, ) {To bryllup og en begravelse (#3.10
Aab�,  Ingrid Bergan, D�rlig kjemi, 2007, Maren Sofie, 
Aack,  Paula, Satanico Pandemonium: La Sexorcista, 1975, , 
Aad,  Nathalie, The Cedar's Tears, 2010, Thalia, 
Aad,  Rita, The Cedar's Tears, 2010, Co-Store Owner, 

, 	, BNP Paribas Showdown 2015, 2015, Herself - Host, ) (TV
, Aadhira, Kanithan, 2016, , 
, 	, Moodar Koodam, 2013, Velakari, 
Aadi,  Abini, Kochavva Paulo Ayyappa Coelho, 2016, Ambili, 
Aadland,  Beverly, Cuban Rebel Girls, 1959, Beverly Woods, 
, 	, Errol Flynn: Portrait of a Swashbuckler, 1983, Herself - Errol's Last Love, ) (V
, 	, South Pacific, 1958, Nurse in Thanksgiving Show, )  (as Beverly Adland
, 	, The Adventures of Errol Flynn, 2005, Herself, ) (TV)  (archive footage
, 	, Too Much, Too Soon, 1958, Blonde at Studio Party, )  (uncredited
, 	," ""Secret Lives""", 1995, Herself - Interviewee, 
, 	," ""The Mike Douglas Show""", 1961, Herself, ) {(#1.34
, 	," ""You Bet Your Life""", 1950, Herself - High School Student, ) {(#8.9
Aadland,  Edith, Omringet, 1960, , 
Aadland,  Florence, The Truth About Fidel Castro Revolution, 1959, Herself, )  (uncredited
Aadland,  Lauren, French Kiss, 2015, Emma, /II
Aadli,  Myriam, Jeans Tonic, 1984, A student, 
Aadussoo,  Liisa, Klass, 2007, , 



, 	," ""Hanan Wa Haneen""", 2007, Marwa, ) {(#1.1
, 	," ""Hanan Wa Haneen""", 2007, Marwa, ) {(#1.3
, 	," ""Hanan Wa Haneen""", 2007, Marwa, ) {(#1.5
, 	," ""Hanan Wa Haneen""", 2007, Marwa, ) {(#1.7
, 	," ""Hanan Wa Haneen""", 2007, Marwa, ) {(#1.9
Aaftink,  Sandra," ""Oppassen!!!""", 1991, Baliemedewerkster, ) {In wankel evenwicht (#6.22
Aagaard Gamlund,  Karoline, Olsenbanden Junior g�r under vann, 2003, Ingrid, 
, 	," ""Olsenbandens f�rste kupp""", 2001, Ingrid, 
Aagaard,  Clara," ""Voice - Danmarks st�rste stemme""", 2011, Herself - Participant, ) {F�rste blindtest (#1.1
Aagaard,  Daniella (I), Mgp 2004 - de unges melodi grand prix, 2004, Herself - Participant/Performer, performing 'F�rste blik', ) (TV
Aagaard,  Dorit," ""Den 6. sans"" (2002)  [Herself - Grafolog", 2002, , 
Aagaard,  Frederikke, Den eneste ene 2, 2002, , 
, 	," ""Dr�mmev�relset""", 2006, Herself - Designer, ) {(#1.2
, 	," ""Dr�mmev�relset""", 2006, Herself - Designer, ) {(#1.4
, 	," ""Dr�mmev�relset""", 2006, Herself - Designer, ) {(#1.6
, 	," ""Dr�mmev�relset""", 2006, Herself - Designer, ) {(#1.8




, 	," ""Scenen er din""", 2004, Herself - Participant/Song, ) {(#3.2


, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1983-07-02
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1983-07-16
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1983-11-22
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1983-12-07
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1984-05-05
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1984-07-05
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1986-04-19
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1986-05-03
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1987-10-09
, 	," ""G�t & grimasser""", 1983, Herself - Time keeper, ) {(1987-11-06
Aagaard,  Lise," ""Den hemmelige million�r""", 2008, Herself - Millionaire, ) {(#1.4
Aagaard,  Patti, Golden Boy, 2018, Art Gallery Patron, 
, 	, Mercy Christmas, 2017, Office Party Guest, 
, 	," ""Top Chef Masters""", 2009, Herself - Chris' Mother, ) {Date Night (#3.7
Aagaard,  Rie," ""Puk & Herman g�r i land""", 2013, Herself - Neighbor, ) {Stryn� (#1.1
Aagaard,  Vanessa, Hughes the Force, 2011, Party Goer, 
Aagaard,  Vibeke, Dybt vand, 1999, , 
, 	," ""Absalons hemmelighed""", 2006, Reng�ringsdame, ) {(#1.10
, 	," ""Absalons hemmelighed""", 2006, Reng�ringsdame, ) {(#1.20






, 	, My Brother Called King, 2009, KP Wardyn, 
, 	, The Exchange, ????, Grandson's Mother, /III
, 	," ""Crappy Holidays Presents...""", 2008, , 
, 	," ""TV for Monsters""", 2017, Demon, 

, 	, Desi Kattey, 2014, Paridhi Rathore, 



, 	," ""Pierwsza milosc""", 2004, Ester, ) {(#1.354)}  (credit only
Aag�rd,  Julie Dahle," ""Beat for Beat""", 1999, Herself, ) {(#16.11
, 	," ""Beat for Beat""", 1999, Herself, ) {(#23.1


, 	, Prathinidhi, 2014, , 
, 	, Vajrakaya, 2015, Cameo appearance, 








, 	, Dirch, 2011, Daimi, 
, 	, Riders, 2015, Pernille, 
, 	," ""Aftenshowet""", 2007, Herself, ) {(2013-01-16
, 	," ""Go' morgen Danmark""", 1996, Herself, ) {(2016-03-09
, 	," ""Julestjerner""", 2012, Piil, ) {11. December (#1.11)}  (credit only
, 	," ""Julestjerner""", 2012, Piil, ) {13. December (#1.13
, 	," ""Julestjerner""", 2012, Piil, ) {15. December (#1.15)}  (credit only
, 	," ""Julestjerner""", 2012, Piil, ) {17. December (#1.17
, 	," ""Julestjerner""", 2012, Piil, ) {19. December (#1.19
, 	," ""Julestjerner""", 2012, Piil, ) {21. December (#1.21
, 	," ""Julestjerner""", 2012, Piil, ) {23. December (#1.23
, 	," ""Julestjerner""", 2012, Piil, ) {25. December (#1.25
, 	," ""Julestjerner""", 2012, Piil, ) {8. December (#1.8

, 	," ""Venner fra fremtiden""", 2017, Herself, ) {Den tyske pistol (#1.1
Aakkula,  Helga, Is� joutuu sotaan, 1975, �iti, ) (TV
, Aakrithi, What Is the Noise at This Time? (Enna Satham Indha Neram), 2014, Quadruplets, 
, Aakruti, Dance Party, 1995, Sweety S. Sharma, )  (as Akruti
, 	, Guddu, 1995, Sonia, 
, 	, We R Friends, 2006, , 
, Aaksha, Hair is Falling: A Serious Comedy Film, 2011, , 
Aakvik,  Liv," ""Hemmeligheten i B-by""", 1983, Sara, 
, 	," ""Hemmeligheten i B-by""", 1983, Sara, ) {(#1.2
, 	," ""Pelle Parafins B�ljeband og automatsp�kelsene""", 1982, Frida Frosk, 
, 	," ""Pelle Parafins B�ljeband og automatsp�kelsene""", 1982, Frida Frosk, ) {(#1.2
, 	," ""Randi & Ronnys restaurant""", 1986, Frida Frosk, 
, 	," ""Serum serum""", 1980, Frida Frosk, ) {(#1.1
, 	," ""Serum serum""", 1980, Frida Frosk, ) {(#1.3
Aal,  Andrea, Us, 1991, Woman #1, ) (TV
, 	," ""Alice""", 1976, Jammer Jackson, ) {Vera's Fine Feathered Friends (#8.19
, 	," ""The Twilight Zone""", 1985," Younger Valerie (segment ""The Girl I Married"")", ) {Song of the Younger World/The Girl I Married (#2.11)}  (uncredited
Aal,  Ghada Abdel," ""Iowa City Shorts""", 2003, Herself, ) {City of Literature, Pt. 2/From Paradise (#8.6
Aal,  Sophie, Picked, 2004, , 
Aala,  Myhraliza, 50 First Kisses, 2017, Sue, 
, 	, Day Pass, 2014, Aunty Deb, 
, 	, Shero Transgender Superhero, 2015, Lymaria, 
, 	, Ti Rasa, 2017, Mother, 
, 	," ""Morgan's Corner""", 2016, , 



, 	, Agha joon, 2000, , 
Aalam,  Roxanne, Silver Bullet, 1985, Uncle Red's Girl, 
Aalam,  Schahla, Duvar, 1983, , 
, 	, Vive la mari�e... et la lib�ration du Kurdistan, 1998, Leila, 
Aalan,  Lynne, The Electric Dreamer: Remembering Philip K. Dick, 2007, Herself, Philip K. Dick's step-sister, ) (V
Aalberg,  Lagle," ""�nne 13""", 1993, Kohviku k�lastaja, ) {683. lugu (#24.16


, 	," ""Goede tijden"," slechte tijden""", 1990, Lana Langeveld, ) {Aflevering 4417 (#22.112)}  (uncredited
, 	," ""Goede tijden"," slechte tijden""", 1990, Lana Langeveld, ) {Aflevering 4432 (#22.127)}  (uncredited
, 	," ""Goede tijden"," slechte tijden""", 1990, Lana Langeveld, ) {Aflevering 4438 (#22.133)}  (uncredited
, 	," ""Goede tijden"," slechte tijden""", 1990, Lana Langeveld, ) {Aflevering 4482 (#22.177)}  (uncredited
, 	," ""Goede tijden"," slechte tijden""", 1990, Lana Langeveld, ) {Aflevering 4507 (#22.202)}  (uncredited


, 	," ""The Weepers""", 2013, Det. Nichole Brightly, ) {The Beginning (#1.2
, 	," ""The Weepers""", 2013, Det. Nicole Brightly, ) {Time Enough (#1.3
Aalbu,  Fern, Young Man of Manhattan, 1930, One of the Sherman Sisters, )  (as Four Aalbu Sisters
Aalbu,  Harriet, Young Man of Manhattan, 1930, One of the Sherman Sisters, )  (as Four Aalbu Sisters
Aalbu,  Lorraine, Young Man of Manhattan, 1930, One of the Sherman Sisters, )  (as Four Aalbu Sisters
Aalda,  Mariann, Beaches, 1988, Ticket Seller, 
, 	, Diary of a Clippers Fan, 2003, Susan, ) (V
, 	, Pretty Woman, 1990, Saleswoman, 
, 	, The Wiz, 1978, Aunt Em's Party, 
, 	," ""1st & Ten""", 1984, Ellen Parker, ) {A Loaded Gun (#4.3
, 	," ""1st & Ten""", 1984, Ellen Parker, ) {Call for the Hall (#4.9
, 	," ""1st & Ten""", 1984, Ellen Parker, ) {Illegal Use of Love (#4.5
, 	," ""1st & Ten""", 1984, Ellen Parker, ) {The Bulls Change Hands (#4.6
, 	," ""All of Us""", 2003, Muriel, ) {He's Gotta Have It (#3.18
, 	," ""Chicago Hope""", 1994, Woman, ) {The Other Cheek (#5.8
, 	," ""Designing Women""", 1986, Lita, ) {The Girlfriend (#4.5
, 	," ""Grace Under Fire""", 1993, Student, ) {Broads for Broader Horizons (#3.20)}  (uncredited
, 	," ""Models Inc.""", 1994, Janet Johnson, ) {Love and War (#1.14
, 	," ""Sunset Beach""", 1997, Lena Hart, ) {(#1.314)}  (uncredited
, 	," ""Sunset Beach""", 1997, Lena Hart, ) {(#1.321)}  (voice) (uncredited
, 	," ""Sunset Beach""", 1997, Lena Hart, ) {(#1.326)}  (uncredited
, 	," ""Sunset Beach""", 1997, Lena Hart, ) {(#1.328)}  (uncredited
, 	," ""Sunset Beach""", 1997, Lena Hart, ) {(#1.351)}  (uncredited
, 	," ""Sunset Beach""", 1997, Lena Hart, ) {(#1.754)}  (uncredited
, 	," ""Talk to Me"," Ginger!""", 2015, Ginger Peechee-Keane, 
, 	," ""The Blacklist""", 2013, Risa Pe�a, ) {The Stewmaker (No. 161) (#1.4
, 	," ""The Guiding Light"" (1952)  [Grace Battles", 1990, , 
, 	," ""The Parkers""", 1999, Hanna Foster, ) {Join the Club (#4.20
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {A Mid-Summer's Night Barbeque (#1.5
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {Educating Al (#1.7
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {Homework Bound (#1.2
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {Mo' Money (#1.13
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {Pilot (#1.1
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {Talkin' Baseball (#1.4
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {The Frame Game (#1.12
, 	," ""The Royal Family""", 1991, Elizabeth Royal Winston, ) {What's Love Got to Do with It? (#1.6
, 	," ""Veronica's Closet""", 1997, Brian's Mother, ) {Veronica Checks Out (#3.22

, 	," ""Anna and the Country""", 2015, Girl, ) {The Barn (#1.3
Aalderink,  Jacqueline," ""Pension Hommeles""", 1957, Mevr. Bloem, ) {Het ruikt naar verf (#2.1
Aalderink,  Mia, Lang Leve de Achterhoek, 2015, Herself, 
Aalders,  Mairen, El mourabbi, 2007, Baby, )  (as Mairen Stikkelorum
Aalders,  Nina, Skinny Love, 2016, Laura, 
Aalders,  Saskia, Hoogslaper, 2012, Moeder, 
Aalen,  Marit, Hemmeligheten bak Peer Gynt, 2017, Herself, ) (TV
, Aaleule, 5 Seasons, 2015, Spinne, 
Aalgaard,  Leannie," ""Chasing Mood""", 2010, Yoga Instructor, ) {The Confrontation (#2.3
Aali,  Dornaz Vazifeh, The IVth Man, 2012, The Girl, 
Aali-Fern�ndez,  Suilma," ""El comisario""", 1999, , 
, Aalia (I), Dil Aur Duniya, 1971, , 
, 	, Sher Khan, 1981, Dancer, 
Aalia,  Nila, A Good Year, 2006, Newscaster #1, 
, 	, Diverted, 2009, Alia's Mother, ) (TV
, 	, NW, 2016, Doctor, ) (TV
, 	," ""A Touch of Frost""", 1992, Kiran Desai, ) {Endangered Species (#13.1
, 	," ""Doctors""", 2000, Aisha Hassan, ) {After the Roses (#7.156
, 	," ""Five Days""", 2007, Shanti, 
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2377
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2427
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2432
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2435
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2452
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2457
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2507
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2530
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2534
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2544
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2550
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2585
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2587
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2610
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2639
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2641
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2644
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2647
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2657
, 	," ""Hollyoaks""", 1995, Bel Roy, ) {(#1.2659
, 	," ""Life Isn't All Ha Ha Hee Hee""", 2005, Indira, 
, 	," ""Scott & Bailey""", 2011, Yusuf's Mother, ) {(#2.5
, 	," ""Spooks""", 2002, Juliet Taylor, ) {(#3.9)}  (uncredited
, 	," ""The Rebel""", 2016, Jane, ) {Law (#1.1
, 	," ""Whitechapel""", 2009, Dr. Wilkes, ) {(#2.1
, 	," ""Wolfblood""", 2012, Sofia, ) {Humans (#5.5
, 	," ""Wolfblood""", 2012, Sofia, ) {The One Who Sees (#5.8
, 	," ""Wolfblood""", 2012, Sofia, ) {The Shadow in the Light (#5.4
, 	," ""Wolfblood""", 2012, Sofia, ) {Torn (#5.7
, 	," ""Wolfblood""", 2012, Sophia, ) {Viral (#4.11
Aaliste,  Agnes," ""Elu keset linna""", 2012, Anni, 
, 	," ""Kelgukoerad""", 2006, Kerli, ) {Ahvatlus 2 (#3.5
, Aaliya, Aasoo Billa, 1971, , 
, 	, Andaleeb, 1969, , 
, 	, Asli Te Naqli, 1975, , 
, 	, Badla, 1968, , 
, 	, Chann Sajna, 1970, , 
, 	, Dara, 1968, , 
, 	, Des Mera Jeedaraa Da, 1971, , 
, 	, Do Pattar Annaran De, 1972, , 
, 	, Genterman, 1969, , 
, 	, Heera Moti, 1972, , 
, 	, Insaan Ik Tamasha, 1972, , 
, 	, Jangu, 1972, , 
, 	, Khazanchi, 1971, , 
, 	, Love in Jungle, 1970, , 
, 	, Maula Jat, 1979, , 
, 	, Morcha, 1972, , 
, 	, Nai Laila Naia Majnoo, 1969, , 
, 	, Nizam, 1972, , 
, 	, Pind Deleran Da, 1973, , 
, 	, Qadra, 1970, , 
, 	, Rub Di Shaan, 1970, , 
, 	, Samundar Par, 1983, , 
, 	, Shabistan, 1969, , 
, 	, Sir Dhar Di Bazi, 1972, , 
, 	, Taj Mahal, 1968, , 
, 	, Taxi Driver, 1970, , 
, 	, Yamla Jatt, 1969, , 
Aaliya,  Nisha, Cobra, 2018, Featured Wedding Dancer, 

, 	, 101 Most Shocking Moments in Entertainment, 2003, Herself, ) (TV)  (archive footage
, 	, 2000 MTV Video Music Awards, 2000, Herself, ) (TV
, 	, Aaliyah: Age Ain't Nothing But a Number, 1994, Herself, ) (V
, 	, Aaliyah: At Your Best (You Are Love), 1994, Aaliyah, ) (V
, 	, Aaliyah: If Your Girl Only Knew, 1996, Aaliyah, ) (V
